Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src
ame,아메리카노 (Hot/Iced),초곡 카페 - 아메리카노,초곡 카페,음료,커피,TRUE,Title,Default Title,CGC-AME,0,shopify,120,deny,manual,3500,,FALSE,TRUE,
cafe-latte,카페라떼 (Hot/Iced),초곡 카페 - 카페라떼,초곡 카페,음료,커피,TRUE,Title,Default Title,CGC-LAT,0,shopify,90,deny,manual,4500,,FALSE,TRUE,
vanilla-latte,바닐라 라떼,초곡 카페 - 바닐라 라떼,초곡 카페,음료,커피,TRUE,Title,Default Title,CGC-VLAT,0,shopify,60,deny,manual,5000,,FALSE,TRUE,
cappuccino,카푸치노,초곡 카페 - 카푸치노,초곡 카페,음료,커피,TRUE,Title,Default Title,CGC-CAP,0,shopify,70,deny,manual,4800,,FALSE,TRUE,
earlgrey-tea,얼그레이 티,초곡 카페 - 얼그레이 티,초곡 카페,음료,티,TRUE,Title,Default Title,CGC-EG,0,shopify,40,deny,manual,4000,,FALSE,TRUE,
honey-lemon,허니 레몬 (Iced),초곡 카페 - 허니 레몬,초곡 카페,음료,티/레모네이드,TRUE,Title,Default Title,CGC-HL,0,shopify,50,deny,manual,4500,,FALSE,TRUE,
greentea-latte,그린티 라떼,초곡 카페 - 그린티 라떼,초곡 카페,음료,티/라떼,TRUE,Title,Default Title,CGC-GT,0,shopify,45,deny,manual,5000,,FALSE,TRUE,
croissant,크루아상,초곡 카페 - 크루아상,초곡 카페,베이커리,베이커리,TRUE,Title,Default Title,CGC-CRO,0,shopify,80,deny,manual,3800,,TRUE,TRUE,
cheesecake,치즈 케이크 (조각),초곡 카페 - 치즈 케이크,초곡 카페,베이커리,디저트,TRUE,Title,Default Title,CGC-CC,0,shopify,30,deny,manual,5500,,TRUE,TRUE,
madeleine,마들렌 (2개),초곡 카페 - 마들렌,초곡 카페,베이커리,디저트,TRUE,Title,Default Title,CGC-MDL,0,shopify,50,deny,manual,3200,,TRUE,TRUE,
ham-cheese-sandwich,햄&치즈 샌드위치,초곡 카페 - 햄&치즈 샌드위치,초곡 카페,식사,샌드위치,TRUE,Title,Default Title,CGC-SW,0,shopify,40,deny,manual,6800,,TRUE,TRUE,
avocado-salad,아보카도 샐러드 볼,초곡 카페 - 아보카도 샐러드 볼,초곡 카페,식사,샐러드,TRUE,Title,Default Title,CGC-AVB,0,shopify,35,deny,manual,7500,,TRUE,TRUE,
grapefruit-blended,자몽 블렌디드,초곡 카페 - 자몽 블렌디드 (시즌),초곡 카페,음료,시즌,TRUE,Title,Default Title,CGC-GF,0,shopify,30,deny,manual,5500,,FALSE,TRUE,
pumpkin-latte,호박 라떼,초곡 카페 - 호박 라떼 (시즌),초곡 카페,음료,시즌,TRUE,Title,Default Title,CGC-PL,0,shopify,30,deny,manual,5500,,FALSE,TRUE,
